0,,,
3,,,
2,,,
4,,,
1,,,
4,,,
3,,,
4,,,
4,,,
1,,,
2,,,
3,,,
0,,,
1,,,
4,,,
0,,,
0,,,
1,,,
2,,,
4,,,
0,,,
0,,,
3,,,
3,,,
1,,,
0,,,
3,,,
1,,,
4,,,
4,,,
2,,,
4,,,
2,,,
2,,,
0,,,
0,,,
1,,,
4,,,
1,,,
0,,,
2,,,
3,,,
1,,,
0,,,
4,,,
0,,,
0,,,
1,,,
4,,,
4,,,
1,,,
4,,,
1,,,
4,,,
2,,,
10,,,
0,,,
7,,,
11,,,
15,,,
17,,,
21,,,
2,,,
1,,,
21,,,
18,,,
7,,,
17,,,
12,,,
9,,,
14,,,
3,,,
2,,,
3,,,
1,,,
3,,,
0,,,
3,,,
4,,,
4,,,
0,,,
2,,,
0,,,
1,,,
3,,,
0,,,
1,,,
3,,,
3,,,
3,,,
0,,,
2,,,
4,,,
2,,,
0,,,
4,,,
0,,,
3,,,
3,,,
3,,,
4,,,
2,,,
4,,,
3,,,
2,,,
2,,,
1,,,
3,,,
1,,,
2,,,
1,,,
4,,,
1,,,
0,,,
3,,,
6,,,
11,,,
9,,,
9,,,
1,,,
11,,,
